chrBase	chr	base	strand	coverage	freqC	freqT
chr21.10012610	chr21	10012610	R	27	74.07	25.93
chr21.10012643	chr21	10012643	R	40	80.00	20.00
chr21.10012642	chr21	10012642	F	39	74.36	25.64
chr21.10012924	chr21	10012924	F	15	66.67	33.33
chr21.10012328	chr21	10012328	R	14	100.00	0.00
chr21.10012989	chr21	10012989	F	11	45.45	54.55
chr21.10012587	chr21	10012587	R	25	12.00	88.00
chr21.10012425	chr21	10012425	R	14	35.71	64.29
chr21.10012636	chr21	10012636	F	39	71.79	28.21
chr21.10012998	chr21	10012998	F	10	90.00	10.00
chr21.10012699	chr21	10012699	F	29	51.72	48.28
chr21.10012609	chr21	10012609	F	40	62.50	37.50
chr21.10012982	chr21	10012982	R	43	100.00	0.00
chr21.10012662	chr21	10012662	R	40	100.00	0.00
chr21.10012934	chr21	10012934	R	32	62.50	37.50
chr21.10012894	chr21	10012894	F	17	52.94	47.06
chr21.10012942	chr21	10012942	R	37	56.76	43.24
chr21.10012975	chr21	10012975	R	41	73.17	26.83
chr21.10012947	chr21	10012947	R	39	94.87	5.13
chr21.10013072	chr21	10013072	R	20	70.00	30.00
chr21.10012658	chr21	10012658	F	38	26.32	73.68
chr21.10012659	chr21	10012659	R	39	12.82	87.18
chr21.10012637	chr21	10012637	R	40	82.50	17.50
chr21.10012881	chr21	10012881	F	17	0.00	100.00
chr21.10013060	chr21	10013060	R	20	20.00	80.00
chr21.10012961	chr21	10012961	R	30	60.00	40.00
chr21.10012428	chr21	10012428	R	13	7.69	92.31
chr21.10012606	chr21	10012606	R	27	33.33	66.67
chr21.10012696	chr21	10012696	F	29	86.21	13.79
chr21.10012940	chr21	10012940	R	36	88.89	11.11
chr21.10012902	chr21	10012902	F	17	76.47	23.53
chr21.10012316	chr21	10012316	R	13	46.15	53.85
chr21.10012318	chr21	10012318	R	13	53.85	46.15
chr21.10012883	chr21	10012883	F	17	94.12	5.88
chr21.10012891	chr21	10012891	F	17	100.00	0.00
chr21.10013062	chr21	10013062	R	20	70.00	30.00
chr21.10012641	chr21	10012641	R	40	60.00	40.00
chr21.10012921	chr21	10012921	F	13	100.00	0.00
chr21.10012938	chr21	10012938	R	36	77.78	22.22
chr21.10012994	chr21	10012994	F	11	45.45	54.55
chr21.10013039	chr21	10013039	R	20	0.00	100.00
chr21.10012454	chr21	10012454	R	14	92.86	7.14
chr21.10012900	chr21	10012900	F	17	94.12	5.88
chr21.10012898	chr21	10012898	F	16	81.25	18.75
chr21.10013086	chr21	10013086	R	20	80.00	20.00
chr21.10012442	chr21	10012442	R	14	100.00	0.00
chr21.10012324	chr21	10012324	R	14	92.86	7.14
chr21.10012887	chr21	10012887	F	17	52.94	47.06
chr21.10012430	chr21	10012430	R	14	7.14	92.86
chr21.10012321	chr21	10012321	R	14	78.57	21.43
chr21.10012981	chr21	10012981	F	10	100.00	0.00
chr21.10012944	chr21	10012944	R	32	59.38	40.62
chr21.10012876	chr21	10012876	F	17	100.00	0.00
chr21.10012465	chr21	10012465	R	14	35.71	64.29
chr21.10022131	chr21	10022131	R	17	47.06	52.94
chr21.10022157	chr21	10022157	R	17	100.00	0.00
chr21.10022165	chr21	10022165	R	17	88.24	11.76
chr21.10065061	chr21	10065061	F	31	48.39	51.61
chr21.10065022	chr21	10065022	F	31	96.77	3.23
chr21.10077904	chr21	10077904	R	43	76.74	23.26
chr21.10077705	chr21	10077705	F	273	69.23	30.77
chr21.10077699	chr21	10077699	F	272	83.46	16.54
chr21.10086785	chr21	10086785	F	71	76.06	23.94
chr21.10087014	chr21	10087014	R	15	66.67	33.33
chr21.10099950	chr21	10099950	F	31	93.55	6.45
chr21.10099942	chr21	10099942	F	31	100.00	0.00
chr21.10114305	chr21	10114305	R	57	59.65	40.35
chr21.10114351	chr21	10114351	R	61	98.36	1.64
chr21.10114345	chr21	10114345	R	61	50.82	49.18
chr21.10114343	chr21	10114343	R	60	56.67	43.33
chr21.10118483	chr21	10118483	F	23	82.61	17.39
chr21.10119874	chr21	10119874	R	13	84.62	15.38
chr21.10120564	chr21	10120564	R	17	88.24	11.76
chr21.10120634	chr21	10120634	F	83	24.10	75.90
chr21.10120603	chr21	10120603	F	84	20.24	79.76
chr21.10120584	chr21	10120584	R	20	75.00	25.00
chr21.10120600	chr21	10120600	R	20	95.00	0.00
chr21.10120643	chr21	10120643	F	82	28.05	71.95
chr21.10120599	chr21	10120599	F	83	96.39	3.61
chr21.10121033	chr21	10121033	F	44	86.36	13.64
chr21.10120990	chr21	10120990	F	51	96.08	3.92
chr21.10121028	chr21	10121028	F	51	90.20	9.80
chr21.10121171	chr21	10121171	F	333	72.37	27.63
chr21.10121126	chr21	10121126	F	612	99.35	0.65
chr21.10122567	chr21	10122567	F	28	100.00	0.00
chr21.10128775	chr21	10128775	F	62	85.48	14.52
chr21.10128867	chr21	10128867	F	216	98.15	1.85
chr21.10128883	chr21	10128883	F	211	84.83	15.17
chr21.10128738	chr21	10128738	F	112	73.21	26.79
chr21.10128673	chr21	10128673	F	139	77.70	22.30
chr21.10128850	chr21	10128850	F	219	81.74	18.26
chr21.10128639	chr21	10128639	F	290	45.52	54.48
chr21.10128661	chr21	10128661	F	146	65.75	34.25
chr21.10129032	chr21	10129032	F	38	94.74	5.26
chr21.10128707	chr21	10128707	F	71	88.73	11.27
chr21.10128702	chr21	10128702	F	71	98.59	1.41
chr21.10128980	chr21	10128980	R	26	38.46	61.54
chr21.10128706	chr21	10128706	R	37	81.08	18.92
chr21.10128674	chr21	10128674	R	124	72.58	27.42
chr21.10128682	chr21	10128682	F	22	0.00	100.00
chr21.10128603	chr21	10128603	F	164	89.63	10.37
chr21.10128609	chr21	10128609	F	165	89.09	10.91
chr21.10128711	chr21	10128711	R	37	94.59	5.41
chr21.10128705	chr21	10128705	F	69	89.86	10.14
chr21.10128670	chr21	10128670	F	143	92.31	7.69
chr21.10128683	chr21	10128683	R	68	61.76	38.24
chr21.10128989	chr21	10128989	R	26	100.00	0.00
chr21.10129002	chr21	10129002	F	39	100.00	0.00
chr21.10128881	chr21	10128881	F	210	89.52	10.48
chr21.10128671	chr21	10128671	R	123	91.87	8.13
chr21.10129003	chr21	10129003	R	26	88.46	11.54
chr21.10128991	chr21	10128991	R	26	50.00	50.00
chr21.10128734	chr21	10128734	F	104	60.58	39.42
chr21.10129036	chr21	10129036	F	38	100.00	0.00
chr21.10128617	chr21	10128617	F	163	93.25	6.75
chr21.10128964	chr21	10128964	R	26	88.46	11.54
chr21.10128659	chr21	10128659	F	146	69.18	30.82
chr21.10129044	chr21	10129044	F	38	94.74	5.26
chr21.10128720	chr21	10128720	F	74	85.14	14.86
chr21.10128660	chr21	10128660	R	120	64.17	35.83
chr21.10128590	chr21	10128590	F	166	99.40	0.60
chr21.10128745	chr21	10128745	F	129	39.53	60.47
chr21.10128601	chr21	10128601	F	162	89.51	10.49
chr21.10128710	chr21	10128710	F	71	100.00	0.00
chr21.10128839	chr21	10128839	F	222	95.50	4.50
chr21.10128735	chr21	10128735	R	37	97.30	2.70
chr21.10128748	chr21	10128748	F	129	75.19	24.81
chr21.10128708	chr21	10128708	R	37	89.19	10.81
chr21.10128721	chr21	10128721	R	36	88.89	11.11
chr21.10128758	chr21	10128758	F	62	53.23	46.77
chr21.10129181	chr21	10129181	F	16	81.25	18.75
chr21.10129546	chr21	10129546	F	10	100.00	0.00
chr21.10129550	chr21	10129550	F	10	100.00	0.00
chr21.10132177	chr21	10132177	F	167	56.89	43.11
chr21.10132089	chr21	10132089	R	16	68.75	31.25
chr21.10132122	chr21	10132122	F	50	82.00	18.00
chr21.10132131	chr21	10132131	R	105	84.76	15.24
chr21.10132094	chr21	10132094	F	51	100.00	0.00
chr21.10132081	chr21	10132081	R	15	100.00	0.00
chr21.10132130	chr21	10132130	F	190	93.16	6.84
chr21.10132095	chr21	10132095	R	16	93.75	6.25
chr21.10133160	chr21	10133160	R	85	90.59	9.41
chr21.10133080	chr21	10133080	F	169	87.57	12.43
chr21.10133159	chr21	10133159	F	98	93.88	6.12
chr21.10133048	chr21	10133048	F	172	98.84	1.16
chr21.10133111	chr21	10133111	R	58	100.00	0.00
chr21.10133091	chr21	10133091	F	168	47.62	52.38
chr21.10133056	chr21	10133056	F	172	68.02	31.98
chr21.10133402	chr21	10133402	R	10	40.00	60.00
chr21.10136773	chr21	10136773	R	202	89.60	10.40
chr21.10136737	chr21	10136737	R	198	95.45	4.55
chr21.10136755	chr21	10136755	R	201	86.57	13.43
chr21.10136648	chr21	10136648	F	206	43.20	56.80
chr21.10136632	chr21	10136632	F	209	28.71	71.29
chr21.10136614	chr21	10136614	F	132	93.18	6.82
chr21.10136731	chr21	10136731	R	197	97.97	2.03
chr21.10136772	chr21	10136772	F	26	92.31	7.69
chr21.10145470	chr21	10145470	F	40	92.50	7.50
chr21.10145439	chr21	10145439	F	40	100.00	0.00
chr21.10145507	chr21	10145507	R	61	98.36	1.64
chr21.10145471	chr21	10145471	R	59	96.61	3.39
chr21.10148190	chr21	10148190	F	56	82.14	17.86
chr21.10148224	chr21	10148224	F	53	100.00	0.00
chr21.10148068	chr21	10148068	F	24	91.67	8.33
chr21.10148396	chr21	10148396	R	37	78.38	21.62
chr21.10150542	chr21	10150542	F	12	100.00	0.00
chr21.10150573	chr21	10150573	F	11	100.00	0.00
chr21.10150580	chr21	10150580	F	11	63.64	36.36
chr21.10150557	chr21	10150557	F	12	83.33	16.67
chr21.10151855	chr21	10151855	F	18	61.11	38.89
chr21.10151842	chr21	10151842	F	18	100.00	0.00
chr21.10151849	chr21	10151849	F	18	88.89	11.11
chr21.10151967	chr21	10151967	F	15	100.00	0.00
chr21.10152050	chr21	10152050	R	32	78.12	21.88
chr21.10151968	chr21	10151968	R	80	95.00	5.00
chr21.10151952	chr21	10151952	R	79	89.87	10.13
chr21.10153249	chr21	10153249	F	10	100.00	0.00
chr21.10153229	chr21	10153229	F	10	100.00	0.00
chr21.10154072	chr21	10154072	R	54	100.00	0.00
chr21.10154024	chr21	10154024	R	50	94.00	6.00
chr21.10154062	chr21	10154062	R	54	12.96	87.04
chr21.10154226	chr21	10154226	R	148	86.49	13.51
chr21.10154246	chr21	10154246	R	151	92.72	7.28
chr21.10154210	chr21	10154210	R	143	96.50	3.50
chr21.10154306	chr21	10154306	R	56	100.00	0.00
chr21.10154897	chr21	10154897	F	75	1.33	98.67
chr21.10154916	chr21	10154916	R	34	97.06	2.94
chr21.10154915	chr21	10154915	F	32	93.75	6.25
chr21.10154898	chr21	10154898	R	34	0.00	100.00
chr21.10154873	chr21	10154873	R	33	87.88	12.12
chr21.10154893	chr21	10154893	F	83	95.18	4.82
chr21.10154894	chr21	10154894	R	33	90.91	9.09
chr21.10154872	chr21	10154872	F	86	86.05	13.95
chr21.10156520	chr21	10156520	F	64	89.06	10.94
chr21.10156390	chr21	10156390	F	69	98.55	1.45
chr21.10156521	chr21	10156521	R	47	100.00	0.00
chr21.10156485	chr21	10156485	R	45	82.22	17.78
chr21.10156434	chr21	10156434	F	68	100.00	0.00
chr21.10156406	chr21	10156406	F	69	92.75	7.25
chr21.10156496	chr21	10156496	R	46	100.00	0.00
chr21.10157317	chr21	10157317	F	39	94.87	5.13
chr21.10157440	chr21	10157440	R	144	95.14	4.86
chr21.10157292	chr21	10157292	F	40	97.50	2.50
chr21.10165649	chr21	10165649	F	14	78.57	21.43
chr21.10165618	chr21	10165618	F	14	92.86	7.14
chr21.10166952	chr21	10166952	F	10	60.00	40.00
chr21.10176577	chr21	10176577	R	77	84.42	15.58
chr21.10176592	chr21	10176592	R	77	87.01	12.99
chr21.10186386	chr21	10186386	R	18	72.22	27.78
chr21.10186519	chr21	10186519	R	117	88.03	11.97
chr21.10186541	chr21	10186541	R	117	64.10	35.90
chr21.10186452	chr21	10186452	F	18	77.78	22.22
chr21.10186507	chr21	10186507	R	81	88.89	11.11
chr21.10190630	chr21	10190630	R	21	100.00	0.00
chr21.10190629	chr21	10190629	F	21	100.00	0.00
chr21.10190542	chr21	10190542	R	48	79.17	20.83
chr21.10190658	chr21	10190658	F	21	85.71	14.29
chr21.10190516	chr21	10190516	R	69	100.00	0.00
chr21.10190586	chr21	10190586	F	10	100.00	0.00
chr21.10190550	chr21	10190550	F	33	54.55	45.45
chr21.10190547	chr21	10190547	R	48	95.83	4.17
chr21.10190556	chr21	10190556	R	48	100.00	0.00
chr21.10190587	chr21	10190587	R	20	100.00	0.00
chr21.10190523	chr21	10190523	F	52	88.46	11.54
chr21.10190524	chr21	10190524	R	44	77.27	22.73
chr21.10190541	chr21	10190541	F	52	78.85	21.15
chr21.10190583	chr21	10190583	R	19	94.74	5.26
chr21.10190563	chr21	10190563	F	15	66.67	33.33
chr21.10190627	chr21	10190627	R	21	52.38	47.62
chr21.10190669	chr21	10190669	F	21	57.14	42.86
chr21.10190546	chr21	10190546	F	49	67.35	32.65
chr21.10190611	chr21	10190611	R	21	4.76	95.24
chr21.10190503	chr21	10190503	R	69	97.10	2.90
chr21.10190633	chr21	10190633	F	21	71.43	28.57
chr21.10190555	chr21	10190555	F	15	100.00	0.00
chr21.10190515	chr21	10190515	F	52	96.15	3.85
chr21.10190574	chr21	10190574	F	14	50.00	50.00
chr21.10190582	chr21	10190582	F	15	6.67	93.33
chr21.10190622	chr21	10190622	R	21	57.14	42.86
chr21.10190551	chr21	10190551	R	47	61.70	38.30
chr21.10190676	chr21	10190676	F	20	95.00	5.00
chr21.10190925	chr21	10190925	R	125	97.60	2.40
chr21.10191109	chr21	10191109	R	18	66.67	33.33
chr21.10190896	chr21	10190896	F	89	84.27	15.73
chr21.10191112	chr21	10191112	R	18	61.11	38.89
chr21.10190930	chr21	10190930	R	126	68.25	31.75
chr21.10191118	chr21	10191118	R	18	94.44	5.56
chr21.10190929	chr21	10190929	F	45	71.11	28.89
chr21.10191089	chr21	10191089	R	18	100.00	0.00
chr21.10190881	chr21	10190881	F	88	92.05	7.95
chr21.10190937	chr21	10190937	R	122	95.08	3.28
chr21.10191062	chr21	10191062	R	74	93.24	6.76
chr21.10190897	chr21	10190897	R	111	86.49	13.51
chr21.10190924	chr21	10190924	F	53	86.79	13.21
chr21.10191023	chr21	10191023	R	72	63.89	36.11
chr21.10190944	chr21	10190944	R	126	99.21	0.79
chr21.10191430	chr21	10191430	R	52	76.92	23.08
chr21.10191408	chr21	10191408	R	51	74.51	25.49
chr21.10191786	chr21	10191786	F	19	84.21	10.53
chr21.10191838	chr21	10191838	R	96	86.46	13.54
chr21.10191940	chr21	10191940	R	99	68.69	31.31
chr21.10191850	chr21	10191850	F	33	100.00	0.00
chr21.10191900	chr21	10191900	R	93	95.70	4.30
chr21.10191824	chr21	10191824	R	93	78.49	21.51
chr21.10191878	chr21	10191878	F	113	86.73	13.27
chr21.10191770	chr21	10191770	R	107	95.33	4.67
chr21.10191851	chr21	10191851	R	97	97.94	2.06
chr21.10191863	chr21	10191863	F	32	59.38	40.62
chr21.10191857	chr21	10191857	F	33	87.88	9.09
chr21.10191818	chr21	10191818	F	17	82.35	17.65
chr21.10191924	chr21	10191924	R	95	65.26	34.74
chr21.10191923	chr21	10191923	F	86	70.93	29.07
chr21.10191906	chr21	10191906	F	102	58.82	41.18
chr21.10191819	chr21	10191819	R	93	92.47	7.53
chr21.10191773	chr21	10191773	F	19	84.21	15.79
chr21.10191830	chr21	10191830	R	94	85.11	14.89
chr21.10191899	chr21	10191899	F	113	98.23	1.77
chr21.10191769	chr21	10191769	F	19	100.00	0.00
chr21.10191875	chr21	10191875	F	30	86.67	13.33
chr21.10191907	chr21	10191907	R	94	62.77	37.23
chr21.10192331	chr21	10192331	R	105	83.81	16.19
chr21.10192279	chr21	10192279	F	112	88.39	11.61
chr21.10192335	chr21	10192335	R	105	91.43	8.57
chr21.10192323	chr21	10192323	R	104	80.77	19.23
chr21.10192318	chr21	10192318	F	107	91.59	8.41
chr21.10192322	chr21	10192322	F	107	89.72	10.28
chr21.10192319	chr21	10192319	R	91	100.00	0.00
chr21.13282440	chr21	13282440	F	64	60.94	39.06
chr21.13282433	chr21	13282433	F	65	90.77	9.23
chr21.13294893	chr21	13294893	R	55	94.55	5.45
chr21.13294785	chr21	13294785	F	52	94.23	5.77
chr21.13294755	chr21	13294755	F	54	92.59	7.41
chr21.13294914	chr21	13294914	R	55	100.00	0.00
chr21.13294757	chr21	13294757	F	54	100.00	0.00
chr21.13294742	chr21	13294742	F	54	87.04	12.96
chr21.13306349	chr21	13306349	R	24	100.00	0.00
chr21.13306175	chr21	13306175	F	12	91.67	8.33
chr21.13306159	chr21	13306159	F	15	100.00	0.00
chr21.13306319	chr21	13306319	R	22	77.27	22.73
chr21.13306171	chr21	13306171	F	15	100.00	0.00
chr21.13306339	chr21	13306339	R	22	100.00	0.00
chr21.13317492	chr21	13317492	R	12	83.33	16.67
chr21.13331902	chr21	13331902	R	20	90.00	10.00
chr21.13332745	chr21	13332745	R	23	86.96	13.04
chr21.13332780	chr21	13332780	R	16	100.00	0.00
chr21.13332760	chr21	13332760	R	16	100.00	0.00
chr21.13332740	chr21	13332740	R	23	100.00	0.00
chr21.13332749	chr21	13332749	R	23	100.00	0.00
chr21.13377533	chr21	13377533	R	13	76.92	23.08
chr21.13377568	chr21	13377568	R	13	92.31	7.69
chr21.13606513	chr21	13606513	R	13	100.00	0.00
chr21.13606472	chr21	13606472	R	12	91.67	8.33
chr21.13606394	chr21	13606394	F	23	100.00	0.00
chr21.13662766	chr21	13662766	F	46	100.00	0.00
chr21.13664889	chr21	13664889	R	271	95.57	4.43
chr21.13664888	chr21	13664888	F	146	90.41	9.59
chr21.13666397	chr21	13666397	R	355	93.24	6.76
chr21.13666619	chr21	13666619	R	11	100.00	0.00
chr21.13666506	chr21	13666506	R	63	90.48	9.52
chr21.13666553	chr21	13666553	R	66	90.91	9.09
chr21.13666542	chr21	13666542	R	64	79.69	20.31
chr21.13666604	chr21	13666604	R	11	90.91	9.09
chr21.13666602	chr21	13666602	R	11	90.91	9.09
chr21.13666601	chr21	13666601	F	30	96.67	3.33
chr21.13666552	chr21	13666552	F	31	87.10	12.90
chr21.13666615	chr21	13666615	R	11	100.00	0.00
chr21.13667332	chr21	13667332	F	11	100.00	0.00
chr21.13667288	chr21	13667288	F	11	72.73	27.27
chr21.13667323	chr21	13667323	F	10	80.00	20.00
chr21.13673415	chr21	13673415	R	12	100.00	0.00
chr21.13673405	chr21	13673405	R	11	90.91	9.09
chr21.13673214	chr21	13673214	F	28	100.00	0.00
chr21.13673243	chr21	13673243	F	26	92.31	7.69
chr21.13673262	chr21	13673262	F	23	100.00	0.00
chr21.13673341	chr21	13673341	R	12	100.00	0.00
chr21.13673290	chr21	13673290	F	41	90.24	9.76
chr21.13673458	chr21	13673458	F	38	89.47	10.53
chr21.13673414	chr21	13673414	F	38	97.37	2.63
chr21.13673327	chr21	13673327	F	18	0.00	100.00
chr21.13673294	chr21	13673294	F	41	97.56	2.44
chr21.13673295	chr21	13673295	R	12	100.00	0.00
chr21.13673328	chr21	13673328	R	12	0.00	100.00
chr21.13673945	chr21	13673945	F	20	100.00	0.00
chr21.13673927	chr21	13673927	F	16	100.00	0.00
chr21.13673754	chr21	13673754	F	18	55.56	44.44
chr21.13673937	chr21	13673937	F	20	100.00	0.00
chr21.13673904	chr21	13673904	F	16	50.00	50.00
chr21.13674125	chr21	13674125	F	44	90.91	9.09
chr21.13673713	chr21	13673713	F	19	100.00	0.00
chr21.13673901	chr21	13673901	R	13	100.00	0.00
chr21.13673900	chr21	13673900	F	16	100.00	0.00
chr21.13673740	chr21	13673740	F	18	94.44	5.56
chr21.13673964	chr21	13673964	F	19	84.21	15.79
chr21.13673983	chr21	13673983	F	18	94.44	5.56
chr21.13673866	chr21	13673866	R	11	27.27	72.73
chr21.13675113	chr21	13675113	R	26	96.15	3.85
chr21.13675042	chr21	13675042	F	20	100.00	0.00
chr21.13675005	chr21	13675005	F	21	19.05	80.95
chr21.13675001	chr21	13675001	F	21	95.24	4.76
chr21.13675047	chr21	13675047	F	19	100.00	0.00
chr21.13722691	chr21	13722691	R	11	81.82	18.18
chr21.13722743	chr21	13722743	F	27	81.48	18.52
chr21.13722734	chr21	13722734	F	27	96.30	3.70
chr21.13722718	chr21	13722718	F	27	100.00	0.00
chr21.13776930	chr21	13776930	F	11	81.82	18.18
chr21.13786212	chr21	13786212	F	50	70.00	30.00
chr21.13808910	chr21	13808910	F	16	100.00	0.00
chr21.13808911	chr21	13808911	R	37	100.00	0.00
chr21.13808881	chr21	13808881	R	32	96.88	3.12
chr21.13866838	chr21	13866838	F	17	100.00	0.00
chr21.13866816	chr21	13866816	F	17	100.00	0.00
chr21.13877808	chr21	13877808	R	49	97.96	2.04
chr21.13877899	chr21	13877899	R	11	100.00	0.00
chr21.13877854	chr21	13877854	F	15	80.00	20.00
chr21.13877640	chr21	13877640	F	47	63.83	36.17
chr21.13877816	chr21	13877816	F	21	100.00	0.00
chr21.13877855	chr21	13877855	R	11	72.73	27.27
chr21.13877896	chr21	13877896	R	11	81.82	18.18
chr21.13878804	chr21	13878804	R	12	83.33	16.67
chr21.13958080	chr21	13958080	R	18	100.00	0.00
chr21.13958107	chr21	13958107	R	19	89.47	10.53
chr21.13958077	chr21	13958077	R	17	94.12	5.88
chr21.13958094	chr21	13958094	R	19	89.47	10.53
chr21.13958265	chr21	13958265	F	14	92.86	7.14
chr21.13958266	chr21	13958266	R	59	94.92	5.08
chr21.13958466	chr21	13958466	F	12	91.67	8.33
chr21.13958467	chr21	13958467	R	26	0.00	100.00
chr21.13958516	chr21	13958516	R	27	100.00	0.00
chr21.13958515	chr21	13958515	F	12	0.00	100.00
chr21.13960041	chr21	13960041	F	20	90.00	10.00
