chrBase	chr	base	strand	coverage	freqC	freqT
chr21.9906864	chr21	9906864	F	22	63.64	36.36
chr21.9906824	chr21	9906824	R	15	66.67	33.33
chr21.9906902	chr21	9906902	R	11	0.00	100.00
chr21.9906805	chr21	9906805	R	15	86.67	13.33
chr21.9906869	chr21	9906869	F	22	0.00	100.00
chr21.9906616	chr21	9906616	F	37	72.97	27.03
chr21.9906931	chr21	9906931	R	11	45.45	54.55
chr21.9906827	chr21	9906827	R	15	46.67	53.33
chr21.9906634	chr21	9906634	F	34	64.71	35.29
chr21.9906704	chr21	9906704	F	17	76.47	23.53
chr21.9906907	chr21	9906907	R	11	36.36	63.64
chr21.9906681	chr21	9906681	F	26	42.31	57.69
chr21.9906724	chr21	9906724	F	21	80.95	19.05
chr21.9906822	chr21	9906822	R	15	93.33	6.67
chr21.9906808	chr21	9906808	R	15	73.33	26.67
chr21.9906676	chr21	9906676	F	26	92.31	7.69
chr21.9906934	chr21	9906934	R	11	81.82	18.18
chr21.9906884	chr21	9906884	F	22	36.36	63.64
chr21.9906714	chr21	9906714	F	21	90.48	9.52
chr21.9906640	chr21	9906640	F	34	0.00	100.00
chr21.9906604	chr21	9906604	F	37	89.19	10.81
chr21.9906889	chr21	9906889	F	22	0.00	100.00
chr21.9906694	chr21	9906694	F	26	57.69	42.31
chr21.9906885	chr21	9906885	R	11	0.00	100.00
chr21.9911345	chr21	9911345	F	17	58.82	41.18
chr21.9913543	chr21	9913543	F	28	100.00	0.00
chr21.9913575	chr21	9913575	F	28	92.86	7.14
chr21.9917629	chr21	9917629	F	14	7.14	92.86
chr21.9917645	chr21	9917645	F	11	45.45	54.55
chr21.9917648	chr21	9917648	F	11	63.64	36.36
chr21.9927687	chr21	9927687	R	14	92.86	7.14
chr21.9927676	chr21	9927676	R	18	94.44	5.56
chr21.9927527	chr21	9927527	F	14	78.57	21.43
chr21.9944505	chr21	9944505	F	40	62.50	37.50
chr21.9944663	chr21	9944663	R	31	80.65	19.35
chr21.9959407	chr21	9959407	F	40	67.50	32.50
chr21.9959569	chr21	9959569	R	39	89.74	10.26
chr21.9959577	chr21	9959577	R	39	92.31	7.69
chr21.9959644	chr21	9959644	R	31	45.16	54.84
chr21.9959541	chr21	9959541	R	39	82.05	17.95
chr21.9959650	chr21	9959650	R	32	65.62	34.38
chr21.9967634	chr21	9967634	R	56	51.79	48.21
chr21.9990967	chr21	9990967	F	16	75.00	25.00
chr21.10009672	chr21	10009672	R	11	100.00	0.00
chr21.10012079	chr21	10012079	F	22	72.73	27.27
chr21.10011938	chr21	10011938	R	20	85.00	15.00
chr21.10011925	chr21	10011925	R	20	30.00	70.00
chr21.10011990	chr21	10011990	F	25	56.00	44.00
chr21.10011974	chr21	10011974	R	20	60.00	40.00
chr21.10012089	chr21	10012089	F	22	54.55	45.45
chr21.10011872	chr21	10011872	F	14	57.14	42.86
chr21.10012101	chr21	10012101	F	20	60.00	40.00
chr21.10011855	chr21	10011855	F	14	85.71	14.29
chr21.10011964	chr21	10011964	R	21	66.67	33.33
chr21.10012075	chr21	10012075	F	22	72.73	27.27
chr21.10012030	chr21	10012030	F	24	75.00	25.00
chr21.10012008	chr21	10012008	F	24	54.17	45.83
chr21.10011833	chr21	10011833	F	14	100.00	0.00
chr21.10011861	chr21	10011861	F	13	69.23	30.77
chr21.10011841	chr21	10011841	F	14	57.14	42.86
chr21.10011876	chr21	10011876	F	11	81.82	18.18
chr21.10012095	chr21	10012095	F	21	80.95	19.05
chr21.10011858	chr21	10011858	F	13	61.54	38.46
chr21.10011954	chr21	10011954	R	16	75.00	25.00
chr21.10011987	chr21	10011987	F	25	92.00	8.00
chr21.10012069	chr21	10012069	F	22	27.27	72.73
chr21.10011878	chr21	10011878	F	12	100.00	0.00
chr21.10012924	chr21	10012924	F	14	57.14	42.86
chr21.10012934	chr21	10012934	R	10	40.00	60.00
chr21.10012894	chr21	10012894	F	14	100.00	0.00
chr21.10012940	chr21	10012940	R	10	40.00	60.00
chr21.10012902	chr21	10012902	F	15	80.00	20.00
chr21.10012891	chr21	10012891	F	15	93.33	6.67
chr21.10012921	chr21	10012921	F	13	100.00	0.00
chr21.10012900	chr21	10012900	F	16	100.00	0.00
chr21.10012898	chr21	10012898	F	14	100.00	0.00
chr21.10012887	chr21	10012887	F	15	93.33	6.67
chr21.10012876	chr21	10012876	F	14	85.71	14.29
chr21.10012699	chr21	10012699	F	10	30.00	70.00
chr21.10012942	chr21	10012942	R	10	20.00	80.00
chr21.10012947	chr21	10012947	R	10	100.00	0.00
chr21.10012881	chr21	10012881	F	15	0.00	100.00
chr21.10012696	chr21	10012696	F	10	100.00	0.00
chr21.10012883	chr21	10012883	F	15	93.33	6.67
chr21.10012938	chr21	10012938	R	10	60.00	40.00
chr21.10012944	chr21	10012944	R	10	50.00	50.00
chr21.10013827	chr21	10013827	R	11	100.00	0.00
chr21.10014621	chr21	10014621	F	10	30.00	70.00
chr21.10022131	chr21	10022131	R	24	16.67	83.33
chr21.10022157	chr21	10022157	R	24	79.17	20.83
chr21.10022165	chr21	10022165	R	24	75.00	25.00
chr21.10055609	chr21	10055609	F	11	90.91	9.09
chr21.10064601	chr21	10064601	F	10	80.00	20.00
chr21.10065208	chr21	10065208	F	14	28.57	71.43
chr21.10065061	chr21	10065061	F	41	46.34	53.66
chr21.10065022	chr21	10065022	F	42	92.86	7.14
chr21.10066191	chr21	10066191	F	12	75.00	25.00
chr21.10070955	chr21	10070955	R	10	40.00	60.00
chr21.10071163	chr21	10071163	R	10	0.00	100.00
chr21.10076490	chr21	10076490	F	11	54.55	45.45
chr21.10077904	chr21	10077904	R	16	50.00	50.00
chr21.10077705	chr21	10077705	F	75	80.00	20.00
chr21.10077699	chr21	10077699	F	74	78.38	21.62
chr21.10086785	chr21	10086785	F	42	78.57	21.43
chr21.10087013	chr21	10087013	F	14	78.57	21.43
chr21.10087014	chr21	10087014	R	13	38.46	61.54
chr21.10092223	chr21	10092223	R	21	100.00	0.00
chr21.10099942	chr21	10099942	F	31	74.19	25.81
chr21.10099950	chr21	10099950	F	31	90.32	9.68
chr21.10102508	chr21	10102508	F	10	20.00	80.00
chr21.10108412	chr21	10108412	F	12	83.33	16.67
chr21.10111127	chr21	10111127	F	20	55.00	45.00
chr21.10111115	chr21	10111115	F	21	90.48	9.52
chr21.10112133	chr21	10112133	R	11	72.73	27.27
chr21.10114141	chr21	10114141	R	11	100.00	0.00
chr21.10114147	chr21	10114147	R	11	100.00	0.00
chr21.10114305	chr21	10114305	R	25	60.00	40.00
chr21.10114351	chr21	10114351	R	25	100.00	0.00
chr21.10114526	chr21	10114526	F	14	100.00	0.00
chr21.10114496	chr21	10114496	F	13	61.54	38.46
chr21.10114345	chr21	10114345	R	25	32.00	68.00
chr21.10114343	chr21	10114343	R	25	52.00	48.00
chr21.10115750	chr21	10115750	F	26	80.77	19.23
chr21.10116599	chr21	10116599	R	34	88.24	11.76
chr21.10116637	chr21	10116637	R	35	88.57	11.43
chr21.10118632	chr21	10118632	R	10	100.00	0.00
chr21.10118677	chr21	10118677	R	12	0.00	100.00
chr21.10120990	chr21	10120990	F	12	100.00	0.00
chr21.10121028	chr21	10121028	F	14	85.71	14.29
chr21.10121198	chr21	10121198	F	11	63.64	36.36
chr21.10120603	chr21	10120603	F	36	11.11	88.89
chr21.10121171	chr21	10121171	F	153	66.01	33.99
chr21.10121126	chr21	10121126	F	152	95.39	4.61
chr21.10120600	chr21	10120600	R	21	90.48	9.52
chr21.10120643	chr21	10120643	F	37	10.81	89.19
chr21.10119874	chr21	10119874	R	12	50.00	50.00
chr21.10120599	chr21	10120599	F	36	97.22	2.78
chr21.10121033	chr21	10121033	F	14	100.00	0.00
chr21.10120079	chr21	10120079	R	13	69.23	30.77
chr21.10120091	chr21	10120091	R	14	50.00	50.00
chr21.10120564	chr21	10120564	R	18	66.67	33.33
chr21.10120634	chr21	10120634	F	37	10.81	89.19
chr21.10120584	chr21	10120584	R	20	95.00	5.00
chr21.10122181	chr21	10122181	F	11	100.00	0.00
chr21.10121789	chr21	10121789	F	15	93.33	6.67
chr21.10121761	chr21	10121761	F	15	100.00	0.00
chr21.10124972	chr21	10124972	R	11	72.73	27.27
chr21.10128775	chr21	10128775	F	42	92.86	7.14
chr21.10128867	chr21	10128867	F	64	96.88	3.12
chr21.10128883	chr21	10128883	F	65	80.00	20.00
chr21.10128673	chr21	10128673	F	37	86.49	13.51
chr21.10128639	chr21	10128639	F	62	56.45	43.55
chr21.10128661	chr21	10128661	F	37	89.19	10.81
chr21.10128707	chr21	10128707	F	12	75.00	25.00
chr21.10128682	chr21	10128682	F	18	0.00	100.00
chr21.10128603	chr21	10128603	F	25	96.00	4.00
chr21.10128705	chr21	10128705	F	11	100.00	0.00
chr21.10128662	chr21	10128662	R	24	70.83	25.00
chr21.10128683	chr21	10128683	R	17	41.18	58.82
chr21.10128989	chr21	10128989	R	19	84.21	15.79
chr21.10129003	chr21	10129003	R	17	82.35	17.65
chr21.10128734	chr21	10128734	F	52	92.31	7.69
chr21.10128964	chr21	10128964	R	20	75.00	25.00
chr21.10128659	chr21	10128659	F	37	54.05	45.95
chr21.10128720	chr21	10128720	F	14	71.43	28.57
chr21.10128601	chr21	10128601	F	24	100.00	0.00
chr21.10128839	chr21	10128839	F	57	92.98	7.02
chr21.10128735	chr21	10128735	R	18	61.11	38.89
chr21.10128748	chr21	10128748	F	52	80.77	19.23
chr21.10128708	chr21	10128708	R	16	100.00	0.00
chr21.10128721	chr21	10128721	R	18	100.00	0.00
chr21.10128738	chr21	10128738	F	52	65.38	34.62
chr21.10128850	chr21	10128850	F	58	74.14	25.86
chr21.10128591	chr21	10128591	R	12	83.33	16.67
chr21.10128702	chr21	10128702	F	12	100.00	0.00
chr21.10128980	chr21	10128980	R	20	30.00	70.00
chr21.10128706	chr21	10128706	R	17	100.00	0.00
chr21.10128674	chr21	10128674	R	23	73.91	26.09
chr21.10128609	chr21	10128609	F	25	92.00	8.00
chr21.10128711	chr21	10128711	R	18	77.78	22.22
chr21.10128670	chr21	10128670	F	37	89.19	10.81
chr21.10128881	chr21	10128881	F	65	72.31	27.69
chr21.10128671	chr21	10128671	R	23	82.61	17.39
chr21.10128991	chr21	10128991	R	17	76.47	23.53
chr21.10128617	chr21	10128617	F	25	88.00	12.00
chr21.10128660	chr21	10128660	R	24	54.17	45.83
chr21.10128590	chr21	10128590	F	25	100.00	0.00
chr21.10128745	chr21	10128745	F	52	26.92	73.08
chr21.10128564	chr21	10128564	R	12	91.67	8.33
chr21.10128710	chr21	10128710	F	12	91.67	8.33
chr21.10128758	chr21	10128758	F	42	59.52	40.48
chr21.10129546	chr21	10129546	F	22	77.27	22.73
chr21.10129550	chr21	10129550	F	22	63.64	36.36
chr21.10133080	chr21	10133080	F	78	84.62	15.38
chr21.10132177	chr21	10132177	F	75	49.33	50.67
chr21.10131149	chr21	10131149	R	19	57.89	42.11
chr21.10133043	chr21	10133043	R	21	100.00	0.00
chr21.10133081	chr21	10133081	R	20	80.00	20.00
chr21.10132089	chr21	10132089	R	27	88.89	11.11
chr21.10132122	chr21	10132122	F	13	76.92	23.08
chr21.10130568	chr21	10130568	R	20	25.00	75.00
chr21.10130556	chr21	10130556	R	20	45.00	55.00
chr21.10131969	chr21	10131969	F	21	85.71	14.29
chr21.10132221	chr21	10132221	F	14	64.29	35.71
chr21.10133159	chr21	10133159	F	40	77.50	22.50
chr21.10133402	chr21	10133402	R	27	22.22	77.78
chr21.10131434	chr21	10131434	R	12	91.67	8.33
chr21.10133111	chr21	10133111	R	55	89.09	10.91
chr21.10132418	chr21	10132418	F	38	97.37	2.63
chr21.10132094	chr21	10132094	F	13	100.00	0.00
chr21.10132081	chr21	10132081	R	25	64.00	36.00
chr21.10132033	chr21	10132033	F	15	60.00	40.00
chr21.10132130	chr21	10132130	F	59	88.14	11.86
chr21.10132095	chr21	10132095	R	26	84.62	15.38
chr21.10133160	chr21	10133160	R	55	80.00	20.00
chr21.10131208	chr21	10131208	R	17	47.06	52.94
chr21.10133049	chr21	10133049	R	27	59.26	40.74
chr21.10133401	chr21	10133401	F	39	46.15	53.85
chr21.10133008	chr21	10133008	R	32	71.88	28.12
chr21.10132131	chr21	10132131	R	13	100.00	0.00
chr21.10132265	chr21	10132265	F	13	61.54	38.46
chr21.10133048	chr21	10133048	F	71	88.73	11.27
chr21.10132398	chr21	10132398	F	33	90.91	9.09
chr21.10132934	chr21	10132934	F	10	60.00	40.00
chr21.10133513	chr21	10133513	F	13	0.00	100.00
chr21.10133091	chr21	10133091	F	79	50.63	49.37
chr21.10131118	chr21	10131118	R	14	7.14	92.86
chr21.10133092	chr21	10133092	R	20	45.00	55.00
chr21.10133056	chr21	10133056	F	70	72.86	27.14
chr21.10132009	chr21	10132009	F	11	54.55	45.45
chr21.10135604	chr21	10135604	F	10	20.00	80.00
chr21.10137372	chr21	10137372	R	23	95.65	4.35
chr21.10137356	chr21	10137356	R	23	13.04	86.96
chr21.10137299	chr21	10137299	F	13	46.15	53.85
chr21.10136614	chr21	10136614	F	64	95.31	4.69
chr21.10136600	chr21	10136600	R	24	62.50	37.50
chr21.10136851	chr21	10136851	F	12	41.67	58.33
chr21.10135965	chr21	10135965	F	25	76.00	24.00
chr21.10136772	chr21	10136772	F	17	70.59	29.41
chr21.10136773	chr21	10136773	R	60	85.00	15.00
chr21.10136737	chr21	10136737	R	83	97.59	2.41
chr21.10136480	chr21	10136480	F	10	60.00	40.00
chr21.10136755	chr21	10136755	R	65	87.69	12.31
chr21.10136852	chr21	10136852	R	13	100.00	0.00
chr21.10136648	chr21	10136648	F	72	18.06	81.94
chr21.10137993	chr21	10137993	F	12	33.33	66.67
chr21.10136632	chr21	10136632	F	68	5.88	94.12
chr21.10136567	chr21	10136567	R	31	61.29	38.71
chr21.10137314	chr21	10137314	R	11	90.91	9.09
chr21.10135977	chr21	10135977	F	28	67.86	32.14
chr21.10136731	chr21	10136731	R	84	94.05	5.95
chr21.10136615	chr21	10136615	R	24	66.67	33.33
chr21.10137300	chr21	10137300	R	11	100.00	0.00
chr21.10143097	chr21	10143097	R	11	54.55	45.45
chr21.10144908	chr21	10144908	R	15	86.67	13.33
chr21.10145470	chr21	10145470	F	18	61.11	38.89
chr21.10145439	chr21	10145439	F	15	73.33	26.67
chr21.10145507	chr21	10145507	R	41	92.68	7.32
chr21.10145471	chr21	10145471	R	41	80.49	19.51
chr21.10145506	chr21	10145506	F	17	76.47	23.53
chr21.10148396	chr21	10148396	R	45	77.78	22.22
chr21.10148190	chr21	10148190	F	48	93.75	6.25
chr21.10146835	chr21	10146835	R	14	57.14	42.86
chr21.10148224	chr21	10148224	F	51	94.12	5.88
chr21.10148967	chr21	10148967	F	14	71.43	28.57
chr21.10148864	chr21	10148864	F	10	80.00	20.00
chr21.10146332	chr21	10146332	R	13	61.54	38.46
chr21.10147436	chr21	10147436	F	12	66.67	33.33
chr21.10147406	chr21	10147406	F	12	83.33	16.67
chr21.10150581	chr21	10150581	R	14	92.86	7.14
chr21.10149531	chr21	10149531	R	12	16.67	83.33
chr21.10150574	chr21	10150574	R	10	100.00	0.00
chr21.10151849	chr21	10151849	F	10	70.00	30.00
chr21.10152195	chr21	10152195	R	11	81.82	18.18
chr21.10152050	chr21	10152050	R	26	50.00	50.00
chr21.10154246	chr21	10154246	R	130	86.15	13.85
chr21.10154072	chr21	10154072	R	29	96.55	3.45
chr21.10151968	chr21	10151968	R	15	93.33	6.67
chr21.10154062	chr21	10154062	R	28	21.43	78.57
chr21.10151952	chr21	10151952	R	15	86.67	13.33
chr21.10153441	chr21	10153441	F	23	65.22	34.78
chr21.10153486	chr21	10153486	F	22	81.82	18.18
chr21.10151855	chr21	10151855	F	10	100.00	0.00
chr21.10154226	chr21	10154226	R	127	94.49	5.51
chr21.10153944	chr21	10153944	F	11	54.55	45.45
chr21.10151842	chr21	10151842	F	10	90.00	10.00
chr21.10151967	chr21	10151967	F	19	100.00	0.00
chr21.10152060	chr21	10152060	R	10	70.00	30.00
chr21.10153249	chr21	10153249	F	12	100.00	0.00
chr21.10151561	chr21	10151561	F	15	86.67	13.33
chr21.10153437	chr21	10153437	F	24	87.50	12.50
chr21.10154210	chr21	10154210	R	128	96.88	3.12
chr21.10154024	chr21	10154024	R	30	93.33	6.67
chr21.10153229	chr21	10153229	F	12	100.00	0.00
chr21.10151222	chr21	10151222	R	10	90.00	10.00
chr21.10154830	chr21	10154830	R	25	88.00	12.00
chr21.10154916	chr21	10154916	R	10	100.00	0.00
chr21.10154898	chr21	10154898	R	10	0.00	100.00
chr21.10154988	chr21	10154988	F	17	64.71	35.29
chr21.10154893	chr21	10154893	F	25	92.00	8.00
chr21.10154963	chr21	10154963	F	17	70.59	29.41
chr21.10154897	chr21	10154897	F	24	0.00	100.00
chr21.10155025	chr21	10155025	R	12	66.67	33.33
chr21.10154944	chr21	10154944	F	15	93.33	6.67
chr21.10154873	chr21	10154873	R	10	40.00	60.00
chr21.10154894	chr21	10154894	R	10	100.00	0.00
chr21.10154872	chr21	10154872	F	25	96.00	4.00
chr21.10157317	chr21	10157317	F	17	47.06	52.94
chr21.10156037	chr21	10156037	R	14	64.29	35.71
chr21.10156485	chr21	10156485	R	10	70.00	30.00
chr21.10157501	chr21	10157501	F	14	100.00	0.00
chr21.10157516	chr21	10157516	R	15	80.00	20.00
chr21.10156520	chr21	10156520	F	53	100.00	0.00
chr21.10157502	chr21	10157502	R	13	76.92	23.08
chr21.10156521	chr21	10156521	R	10	80.00	20.00
chr21.10156385	chr21	10156385	R	15	73.33	26.67
chr21.10157440	chr21	10157440	R	112	78.57	21.43
chr21.10157292	chr21	10157292	F	12	83.33	16.67
chr21.10157515	chr21	10157515	F	14	28.57	71.43
chr21.10156391	chr21	10156391	R	12	58.33	41.67
chr21.10156496	chr21	10156496	R	10	40.00	60.00
chr21.10158123	chr21	10158123	R	11	81.82	18.18
chr21.10158023	chr21	10158023	F	32	28.12	71.88
chr21.10158020	chr21	10158020	F	32	100.00	0.00
chr21.10158122	chr21	10158122	F	14	50.00	50.00
chr21.10160753	chr21	10160753	R	15	100.00	0.00
chr21.10160749	chr21	10160749	R	14	100.00	0.00
chr21.10162919	chr21	10162919	F	10	90.00	10.00
chr21.10165757	chr21	10165757	F	11	90.91	9.09
chr21.10166268	chr21	10166268	R	10	100.00	0.00
chr21.10166924	chr21	10166924	F	17	64.71	35.29
chr21.10166931	chr21	10166931	F	17	58.82	41.18
chr21.10165898	chr21	10165898	R	39	94.87	5.13
chr21.10165619	chr21	10165619	R	13	92.31	7.69
chr21.10165854	chr21	10165854	R	33	96.97	3.03
chr21.10165760	chr21	10165760	R	15	40.00	60.00
chr21.10165853	chr21	10165853	F	10	50.00	50.00
chr21.10167633	chr21	10167633	F	10	20.00	80.00
chr21.10166952	chr21	10166952	F	15	26.67	73.33
chr21.10165706	chr21	10165706	R	22	90.91	9.09
chr21.10165750	chr21	10165750	R	13	100.00	0.00
chr21.10167902	chr21	10167902	R	10	50.00	50.00
chr21.10165759	chr21	10165759	F	11	72.73	27.27
chr21.10165886	chr21	10165886	R	44	93.18	6.82
chr21.10162475	chr21	10162475	F	11	54.55	45.45
chr21.10165861	chr21	10165861	F	10	50.00	50.00
chr21.10165607	chr21	10165607	R	13	69.23	30.77
chr21.10166251	chr21	10166251	R	11	45.45	54.55
chr21.10167795	chr21	10167795	R	11	81.82	18.18
chr21.10165786	chr21	10165786	R	15	46.67	53.33
chr21.10167724	chr21	10167724	R	18	11.11	88.89
chr21.10165758	chr21	10165758	R	14	78.57	21.43
chr21.10165649	chr21	10165649	F	33	66.67	33.33
chr21.10165938	chr21	10165938	F	25	60.00	40.00
chr21.10165618	chr21	10165618	F	32	87.50	12.50
chr21.10166595	chr21	10166595	R	10	20.00	80.00
chr21.10165785	chr21	10165785	F	12	16.67	83.33
chr21.10167046	chr21	10167046	F	16	56.25	43.75
chr21.10166232	chr21	10166232	R	11	54.55	45.45
chr21.10162452	chr21	10162452	F	16	87.50	12.50
chr21.10165897	chr21	10165897	F	24	100.00	0.00
chr21.10167190	chr21	10167190	R	11	54.55	45.45
chr21.10166153	chr21	10166153	R	14	78.57	21.43
chr21.10166259	chr21	10166259	R	10	70.00	30.00
chr21.10166159	chr21	10166159	R	14	78.57	21.43
chr21.10162481	chr21	10162481	F	11	100.00	0.00
chr21.10165862	chr21	10165862	R	43	67.44	32.56
chr21.10162093	chr21	10162093	F	15	93.33	6.67
chr21.10167071	chr21	10167071	F	17	58.82	41.18
chr21.10167701	chr21	10167701	R	20	20.00	80.00
chr21.10166405	chr21	10166405	R	10	40.00	60.00
chr21.10169974	chr21	10169974	R	11	36.36	63.64
chr21.10169929	chr21	10169929	F	10	100.00	0.00
chr21.10169973	chr21	10169973	F	10	0.00	100.00
chr21.10171331	chr21	10171331	R	26	100.00	0.00
chr21.10171329	chr21	10171329	R	26	76.92	23.08
chr21.10171319	chr21	10171319	R	26	57.69	42.31
chr21.10171335	chr21	10171335	R	26	96.15	3.85
chr21.10171275	chr21	10171275	R	12	50.00	50.00
chr21.10176592	chr21	10176592	R	63	85.71	14.29
chr21.10176577	chr21	10176577	R	64	70.31	29.69
chr21.10176584	chr21	10176584	R	65	93.85	3.08
chr21.10178863	chr21	10178863	F	18	88.89	11.11
chr21.10186457	chr21	10186457	F	10	70.00	30.00
chr21.10186519	chr21	10186519	R	61	88.52	11.48
chr21.10186541	chr21	10186541	R	59	64.41	35.59
chr21.10186452	chr21	10186452	F	19	94.74	5.26
chr21.10186507	chr21	10186507	R	58	63.79	36.21
chr21.10186540	chr21	10186540	F	10	70.00	30.00
chr21.10187865	chr21	10187865	R	18	83.33	16.67
chr21.10189220	chr21	10189220	R	19	36.84	63.16
chr21.10190629	chr21	10190629	F	37	100.00	0.00
chr21.10190925	chr21	10190925	R	51	94.12	5.88
chr21.10191326	chr21	10191326	R	25	96.00	4.00
chr21.10190658	chr21	10190658	F	36	77.78	22.22
chr21.10190516	chr21	10190516	R	49	97.96	2.04
chr21.10190550	chr21	10190550	F	10	50.00	50.00
chr21.10190387	chr21	10190387	R	11	90.91	9.09
chr21.10190556	chr21	10190556	R	11	100.00	0.00
chr21.10190583	chr21	10190583	R	13	100.00	0.00
chr21.10191348	chr21	10191348	R	19	100.00	0.00
chr21.10190460	chr21	10190460	R	10	90.00	10.00
chr21.10190627	chr21	10190627	R	13	61.54	38.46
chr21.10190546	chr21	10190546	F	11	72.73	27.27
chr21.10190611	chr21	10190611	R	11	0.00	100.00
chr21.10190503	chr21	10190503	R	49	87.76	12.24
chr21.10190376	chr21	10190376	R	11	54.55	45.45
chr21.10190413	chr21	10190413	R	11	100.00	0.00
chr21.10191201	chr21	10191201	R	10	10.00	90.00
chr21.10190852	chr21	10190852	R	13	38.46	61.54
chr21.10190897	chr21	10190897	R	49	85.71	14.29
chr21.10190924	chr21	10190924	F	23	82.61	17.39
chr21.10190622	chr21	10190622	R	13	69.23	30.77
chr21.10190551	chr21	10190551	R	11	54.55	45.45
chr21.10190676	chr21	10190676	F	33	81.82	18.18
chr21.10190944	chr21	10190944	R	51	96.08	3.92
chr21.10190630	chr21	10190630	R	13	100.00	0.00
chr21.10190834	chr21	10190834	R	16	68.75	31.25
chr21.10191430	chr21	10191430	R	43	67.44	32.56
chr21.10190542	chr21	10190542	R	11	90.91	9.09
chr21.10190547	chr21	10190547	R	11	90.91	9.09
chr21.10190587	chr21	10190587	R	13	92.31	7.69
chr21.10190523	chr21	10190523	F	12	75.00	25.00
chr21.10190896	chr21	10190896	F	44	84.09	15.91
chr21.10190868	chr21	10190868	R	13	30.77	69.23
chr21.10190524	chr21	10190524	R	11	72.73	27.27
chr21.10190541	chr21	10190541	F	11	100.00	0.00
chr21.10190930	chr21	10190930	R	51	68.63	31.37
chr21.10191293	chr21	10191293	F	13	84.62	15.38
chr21.10190669	chr21	10190669	F	35	80.00	20.00
chr21.10190929	chr21	10190929	F	18	72.22	27.78
chr21.10190396	chr21	10190396	R	11	81.82	18.18
chr21.10190881	chr21	10190881	F	44	84.09	15.91
chr21.10190882	chr21	10190882	R	12	66.67	33.33
